#{"t_start": 1767376709.5581658, "env_id": "None"}
r,l,t
-55.0,46,6.814359
-55.0,46,6.942514
-54.0,47,7.062844
-54.0,47,7.187026
-49.0,52,7.357836
5.0,106,7.568513
-53.0,48,7.677606
-55.0,46,7.821659
-55.0,46,7.926687
-54.0,47,8.043059
-52.0,49,8.166143
-55.0,46,8.28677
-54.0,47,8.422892
-53.0,48,8.528546
-48.0,53,8.635438
-55.0,46,8.800349
-54.0,47,8.909293
-54.0,47,9.056458
-55.0,46,9.203187
-54.0,47,9.329072
-54.0,47,9.445743
-54.0,47,9.613652
-52.0,49,9.760541
5.0,106,10.008188
-54.0,47,10.12117
-55.0,46,10.270161
-55.0,46,10.381641
-54.0,47,10.534373
-54.0,47,10.64818
-55.0,46,10.757849
-54.0,47,10.887914
-54.0,47,10.991959
-55.0,46,11.13181
-52.0,49,11.250644
-54.0,47,11.379984
-54.0,47,11.483066
-51.0,50,11.655036
-54.0,47,11.802838
-51.0,50,11.93277
4.0,105,15.964385
-55.0,46,16.294865
-54.0,47,16.616497
-55.0,46,16.940032
4.0,105,17.729837
-55.0,46,18.042833
-55.0,46,18.407655
-54.0,47,18.72108
-55.0,46,19.075833
-55.0,46,19.497312
-54.0,47,19.968714
-54.0,47,20.412683
-55.0,46,20.849466
-54.0,47,21.285317
-53.0,48,21.693805
-54.0,47,22.168881
-53.0,48,22.617307
-55.0,46,23.090904
-54.0,47,23.545057
-54.0,47,24.122015
-55.0,46,24.589427
-55.0,46,25.038004
-55.0,46,25.513235
-55.0,46,25.972186
-54.0,47,26.489449
-54.0,47,26.971264
-49.0,52,27.535755
-52.0,49,28.036217
-54.0,47,28.496375
-55.0,46,28.964018
-54.0,47,29.426541
-54.0,47,29.883271
8.0,109,31.432842
-55.0,46,31.940638
-54.0,47,32.420221
-48.0,53,32.947233
-54.0,47,33.478925
4.0,105,34.604982
-53.0,48,35.09881
-53.0,48,35.594334
-54.0,47,44.876676
115.0,216,47.065711
