#{"t_start": 1763997017.1833255, "env_id": "None"}
r,l,t
-54.0,47,3.150211
-54.0,47,3.268572
-54.0,47,3.382113
11.0,112,3.732961
-55.0,46,3.835057
-54.0,47,3.926092
-55.0,46,4.032648
8.0,109,4.292905
-54.0,47,4.417161
-54.0,47,4.537871
-54.0,47,4.657215
-54.0,47,4.75897
9.0,110,5.040962
-54.0,47,5.14812
8.0,109,5.418122
10.0,111,5.739071
8.0,109,5.973212
7.0,108,6.251595
-54.0,47,6.367688
-54.0,47,6.50716
-54.0,47,6.613348
9.0,110,6.873146
-54.0,47,6.974998
-55.0,46,7.106207
-54.0,47,7.364511
8.0,109,8.08435
8.0,109,8.855276
-54.0,47,9.213207
-54.0,47,9.535829
-55.0,46,9.885045
-55.0,46,21.627879
-54.0,47,22.120884
-54.0,47,22.570074
7.0,108,23.595055
7.0,108,24.658339
10.0,111,25.736787
-55.0,46,26.182781
-55.0,46,26.635413
-54.0,47,27.072178
-54.0,47,27.553647
-54.0,47,27.991557
-54.0,47,28.465253
6.0,107,29.521553
6.0,107,30.611088
-55.0,46,31.062659
8.0,109,32.13639
-54.0,47,32.60595
-54.0,47,33.069116
7.0,108,34.059666
-55.0,46,34.490417
9.0,110,35.583025
-55.0,46,36.085661
-54.0,47,36.542867
-55.0,46,37.020403
5.0,106,38.024466
-54.0,47,38.526271
-54.0,47,38.98885
-55.0,46,39.452619
-54.0,47,39.93629
9.0,110,40.966958
-54.0,47,41.413165
-54.0,47,52.80316
-54.0,47,53.286057
-54.0,47,53.755978
-54.0,47,54.195266
-54.0,47,54.677712
-54.0,47,55.114288
-54.0,47,55.570599
-54.0,47,56.027447
-54.0,47,56.493478
-54.0,47,56.937203
-54.0,47,57.40614
-54.0,47,57.865618
-55.0,46,58.346265
-54.0,47,58.7797
-54.0,47,59.23911
-54.0,47,59.697663
-54.0,47,60.179427
10.0,111,61.281109
-55.0,46,61.737654
-55.0,46,62.196699
-55.0,46,62.664906
-54.0,47,63.145887
-54.0,47,63.601168
-55.0,46,64.050153
-54.0,47,64.519588
-55.0,46,64.960056
-54.0,47,65.440264
-54.0,47,65.865105
-54.0,47,66.316472
6.0,107,67.369455
8.0,109,68.488047
8.0,109,69.587829
5.0,106,70.69642
-54.0,47,71.209162
-54.0,47,71.727618
-54.0,47,72.225149
-54.0,47,72.723347
-55.0,46,84.631725
-55.0,46,85.133895
-54.0,47,85.575839
-55.0,46,86.102309
-54.0,47,86.555593
-54.0,47,87.066139
57.0,158,88.670593
-54.0,47,89.132335
8.0,109,90.326787
8.0,109,91.483937
9.0,110,92.657819
-55.0,46,93.167456
-55.0,46,93.629372
-54.0,47,94.107516
-55.0,46,94.603528
-54.0,47,95.09974
-54.0,47,95.615152
6.0,107,96.750962
8.0,109,97.822055
-54.0,47,98.309415
8.0,109,99.395366
8.0,109,100.524853
8.0,109,101.659236
-55.0,46,102.127538
-54.0,47,102.658361
-54.0,47,103.124735
10.0,111,104.291803
-55.0,46,104.749015
8.0,109,116.857587
-54.0,47,117.362568
6.0,107,118.471927
-54.0,47,118.914228
-54.0,47,119.386404
-54.0,47,119.814795
8.0,109,120.934165
-55.0,46,121.374724
-54.0,47,121.843958
-55.0,46,122.317993
-55.0,46,122.812833
-55.0,46,123.251083
-54.0,47,123.756688
-55.0,46,124.227654
-54.0,47,124.683745
-54.0,47,125.129965
8.0,109,126.250752
-54.0,47,126.74229
-55.0,46,127.219492
6.0,107,128.252387
6.0,107,129.362778
7.0,108,130.408267
-54.0,47,130.860737
8.0,109,132.022429
-54.0,47,132.464899
-54.0,47,132.921565
-54.0,47,133.386313
-54.0,47,133.826413
-54.0,47,134.272233
9.0,110,135.356795
-54.0,47,135.84538
-55.0,46,136.291482
7.0,108,148.238274
-55.0,46,148.680309
11.0,112,149.743839
6.0,107,150.814877
8.0,109,151.895236
-55.0,46,152.357517
-54.0,47,152.823421
-55.0,46,153.262349
-54.0,47,153.744558
9.0,110,154.794766
-52.0,49,155.2568
-54.0,47,155.702848
-55.0,46,156.153672
-54.0,47,156.612154
-55.0,46,157.054147
6.0,107,158.092653
8.0,109,159.156855
-55.0,46,159.599494
-54.0,47,160.045907
-55.0,46,160.464774
8.0,109,161.470862
-55.0,46,161.902021
-54.0,47,162.362597
-54.0,47,162.803867
8.0,109,163.859872
8.0,109,164.896513
-54.0,47,165.36124
9.0,110,166.492125
-54.0,47,166.938409
-54.0,47,167.385442
-54.0,47,178.388232
-54.0,47,178.888985
-54.0,47,179.329559
10.0,111,180.44005
-54.0,47,180.867447
8.0,109,181.942734
8.0,109,182.996662
8.0,109,184.053355
6.0,107,185.137537
8.0,109,186.1972
7.0,108,187.294486
8.0,109,188.402852
6.0,107,189.543885
9.0,110,190.659069
5.0,106,191.79881
9.0,110,192.933407
9.0,110,194.051239
8.0,109,195.236073
11.0,112,196.418952
-55.0,46,196.910313
-54.0,47,197.403036
-54.0,47,197.92947
8.0,109,199.017144
-55.0,46,210.987401
6.0,107,212.094017
-54.0,47,212.561423
7.0,108,213.698094
-55.0,46,214.184224
-54.0,47,214.680074
8.0,109,215.871929
-54.0,47,216.352073
8.0,109,217.490478
7.0,108,218.634975
8.0,109,219.752479
6.0,107,220.85143
9.0,110,221.956429
8.0,109,223.1143
-54.0,47,223.610811
-54.0,47,224.120344
-54.0,47,224.614059
8.0,109,225.791466
-54.0,47,226.27915
-54.0,47,226.749957
-54.0,47,227.248558
6.0,107,228.383262
-54.0,47,228.828424
-54.0,47,229.287576
8.0,109,230.367965
-54.0,47,230.836445
-54.0,47,231.354753
-54.0,47,231.815187
8.0,109,243.569016
-54.0,47,244.147591
9.0,110,245.243727
8.0,109,246.316274
-54.0,47,246.789313
8.0,109,247.876661
-55.0,46,248.326669
-55.0,46,248.762379
8.0,109,249.946994
-54.0,47,250.425279
-55.0,46,250.873349
121.0,222,253.067456
-55.0,46,253.535382
-55.0,46,253.984926
